因子,术数,原语直通,"三刑[流年支,日支,时支]",大运窗口流年[目标星],"天干合[流年干,日干]","干克[日干,流年干]","干克[流年干,日干]","干支相等[大运,流年]","干支相等[流年,日柱]",引用本命[本命婚凶],引用本命[食伤克官],忌神干[],忌神支[],换运流年[目标星],"支冲[流年支,日支]","旬空[日柱,流年支]",流年值[目标星],流年克[目标星],流年冲[目标星],流年合[目标星],流年宫忌[子女],流年宫忌[父母],流年宫忌[疾厄],流年宫忌[福德],流年宫忌[财帛],流年透[目标星],财坏印流年[],结论,引用本命[食伤重],年柱干伏吟[],流年支受克[]
流年目标星透,bazi,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,
流年值宫,bazi,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
流年合会,bazi,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
流年冲,bazi,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,
流年克目标星,bazi,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
流年干忌神,bazi,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,
流年支忌神,bazi,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
财坏印,bazi,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
大运窗口,bazi,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,
换运首年,bazi,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,
流年财帛宫忌,ziwei,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,
流年疾厄宫忌,ziwei,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,
流年子女宫忌,ziwei,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
流年父母宫忌,ziwei,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,
流年福德宫忌,ziwei,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,
本命婚凶,bazi,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
食伤克官,bazi,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,
岁运并临,bazi,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,
天克地冲日柱,bazi,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,
日犯岁君,bazi,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,
伏吟流年,bazi,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,
反吟流年,bazi,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,
三刑流年,bazi,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
空亡填实,bazi,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
流年干合日干,bazi,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
食伤重,bazi,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
年柱干伏吟,bazi,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
流年支受克,bazi,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
